WARNING 2025-11-30 09:46:56,951 log 23192 14356 Not Found: /favicon.ico
WARNING 2025-11-30 09:47:55,896 log 23192 2228 Unauthorized: /api/user/
WARNING 2025-11-30 09:58:09,920 log 23192 6692 Forbidden: /api/logout/
WARNING 2025-11-30 09:58:11,942 log 23192 33436 Not Found: /favicon.ico
WARNING 2025-11-30 09:58:31,631 log 23192 33436 Bad Request: /api/login/
WARNING 2025-11-30 09:58:31,814 log 23192 33436 Not Found: /UNAL.webp
WARNING 2025-11-30 09:58:46,416 log 23192 33436 Bad Request: /api/register/
WARNING 2025-11-30 10:00:08,463 log 23192 19512 Forbidden: /api/admin-login/
WARNING 2025-11-30 10:01:02,622 log 23192 23496 Forbidden: /api/logout/
WARNING 2025-11-30 10:02:17,600 log 23192 24448 Bad Request: /api/login/
WARNING 2025-11-30 10:02:17,797 log 23192 24448 Not Found: /UNAL.webp
WARNING 2025-11-30 10:02:58,860 log 23192 24448 Bad Request: /api/register/
WARNING 2025-12-01 07:26:51,205 log 22644 2136 Not Found: /favicon.ico
WARNING 2025-12-01 07:28:37,017 log 22644 31988 Unauthorized: /api/user/
WARNING 2026-02-25 14:44:34,138 log 15124 14080 Not Found: /favicon.ico
WARNING 2026-02-25 14:44:43,870 log 15124 12272 Not Found: /favicon.ico
WARNING 2026-02-25 14:46:48,012 log 15124 17276 Bad Request: /api/login/
WARNING 2026-02-25 14:46:48,034 log 15124 17276 Not Found: /UNAL.webp
WARNING 2026-02-25 14:52:20,660 log 15124 20160 Not Found: /favicon.ico
WARNING 2026-02-25 14:52:48,284 log 15124 20160 Bad Request: /api/login/
WARNING 2026-02-25 14:52:48,308 log 15124 20160 Not Found: /UNAL.webp
WARNING 2026-02-25 14:54:12,758 log 15124 5016 Unauthorized: /api/user/
WARNING 2026-02-25 14:54:13,762 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:13,857 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:13,941 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,036 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,129 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,228 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,328 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,418 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,509 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,606 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,692 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,776 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,861 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:14,959 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,046 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,134 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,218 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,307 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,396 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,489 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,587 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,678 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,767 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,862 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:15,949 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,040 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,137 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,221 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,311 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,409 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,513 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,603 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,701 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,796 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,891 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:16,981 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,073 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,163 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,256 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,343 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,426 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,509 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,607 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,700 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,782 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,873 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:17,958 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,056 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,141 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,229 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,315 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,410 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,496 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,584 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,706 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,801 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,892 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:18,985 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:19,073 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:19,168 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:19,398 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:19,480 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:19,563 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:19,650 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:19,736 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:19,837 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:19,924 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,018 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,108 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,197 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,287 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,375 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,463 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,554 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,641 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,735 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,821 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:20,908 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:21,028 log 15124 5016 Too Many Requests: /api/user/
WARNING 2026-02-25 14:54:21,138 log 15124 5016 Too Many Requests: /api/user/
